306	O
lunar	O
landing	O
plates	O
year	O
released	O
1979	O
piece	O
count	O
2	O
minifigs	O
0	O
list	O
price	O
unknown	O
as	O
part	O
of	O
the	O
classic	O
space	O
collection	O
lego	O
offered	O
two	O
sets	O
of	O
moon	O
plates	O
one	O
was	O
a	O
set	O
of	O
two	O
crater	O
plates	O
and	O
the	O
other	O
this	O
very	O
useful	O
landing	O
plate	O
set	O
not	O
much	O
to	O
review	O
but	O
worth	O
sharing	O
a	O
few	O
images	O
the	O
landing	O
plate	O
and	O
tplate	O
the	O
two	O
plates	O
connect	O
to	O
form	O
this	O
very	O
nice	O
classic	O
space	O
landing	O
platform	O
set	O
497	O
galaxy	O
explorer	O
included	O
the	O
landing	O
platform	O
but	O
the	O
one	O
that	O
i	O
had	O
was	O
lighter	O
in	O
color	O
than	O
the	O
one	O
contained	O
in	O
this	O
set	O
at	O
least	O
the	O
yellow	O
circle	O
future	O
lego	O
space	O
sets	O
could	O
benefit	O
by	O
having	O
similar	O
road	O
plates	O
share	O
your	O
thoughts	O
neutral	O
these	O
are	O
my	O
only	O
space	O
base	O
plates	O
from	O
classic	O
space	O
actually	O
with	O
only	O
2	O
plates	O
i	O
could	O
not	O
do	O
much	O
serious	O
expansion	O
with	O
it	O
instead	O
i	O
merged	O
it	O
with	O
my	O
old	O
city	O
baseplates	O
and	O
used	O
it	O
as	O
a	O
docking	O
station	O
for	O
scientific	O
purposes	O
or	O
restricted	O
facilities	O
that	O
is	O
guarded	O
by	O
the	O
police	O
these	O
baseplates	O
are	O
very	O
useful	O
and	O
is	O
suited	O
for	O
creating	O
a	O
space	O
command	O
center	O
up	O
in	O
the	O
space	O
positive	O
these	O
are	O
pretty	O
good	O
but	O
i	O
think	O
they	O
look	O
too	O
much	O
like	O
the	O
standard	O
town	O
roads	O
from	O
that	O
period	O
i	O
like	O
the	O
black	O
space	O
plates	O
from	O
the	O
early	O
90s	O
better	O
6710	O
negative	O
first	O
what	O
i	O
liked	O
sooooo	O
much	O
was	O
the	O
cover	O
of	O
these	O
plates	O
with	O
this	O
large	O
picture	O
of	O
a	O
classic	O
space	O
scene	O
i	O
still	O
have	O
a	O
306	O
misb	O
just	O
to	O
keep	O
that	O
nice	O
feeling	O
of	O
taking	O
it	O
out	O
of	O
a	O
plastic	O
box	O
and	O
look	O
at	O
it	O
there	O
were	O
different	O
versions	O
of	O
the	O
cover	O
though	O
second	O
the	O
markings	O
of	O
the	O
landing	O
platform	O
changed	O
at	O
some	O
point	O
id	O
have	O
to	O
check	O
it	O
later	O
when	O
im	O
at	O
home	O
think	O
it	O
had	O
something	O
to	O
do	O
with	O
the	O
interupted	O
yellow	O
lines	O
negative	O
these	O
plates	O
are	O
great	O
in	O
setting	O
up	O
your	O
space	O
base	O
and	O
giving	O
your	O
ships	O
a	O
place	O
to	O
land	O
my	O
favorite	O
though	O
is	O
the	O
lunar	O
crater	O
plate	O
which	O
i	O
use	O
to	O
death	O
in	O
my	O
comic	O
positive	O
lokix	O
on	O
jul	O
8	O
2008	O
0309	O
pm	O
said	O
why	O
pay	O
350	O
dollars	O
just	O
download	O
the	O
instructions	O
on	O
buy	O
the	O
pieces	O
off	O
bricklink	O
thats	O
the	O
problem	O
the	O
instructions	O
arent	O
anywhere	O
to	O
be	O
found	O
not	O
that	O
ive	O
seen	O
the	O
set	O
does	O
seem	O
to	O
have	O
some	O
rare	O
parts	O
but	O
i	O
doubt	O
350	O
worth	O
negative	O
cp5670	O
on	O
jul	O
8	O
2008	O
0504	O
am	O
said	O
these	O
are	O
pretty	O
good	O
but	O
i	O
think	O
they	O
look	O
too	O
much	O
like	O
the	O
standard	O
town	O
roads	O
from	O
that	O
period	O
i	O
like	O
the	O
black	O
space	O
plates	O
from	O
the	O
early	O
90s	O
better	O
6710	O
oh	O
how	O
i	O
love	O
these	O
plates	O
