these are my only space base plates from classic space. actually, with only 2 plates, i could not do much serious expansion with it. instead, i merged it with my old city baseplates, and used it as a docking station for scientific purposes or restricted facilities that is guarded by the police. these baseplates are very useful and is suited for creating a space command center, up in the space.  	positive
these are pretty good, but i think they look too much like the standard town roads from that period. i like the black space plates from the early 90s better (6710).	negative
why pay $350 dollars, just download the instructions on buy the pieces off bricklink. this is was i did when i wanted to create the blacktron ii in the futuron colour scheme. also i tend to like both sets of base plates, i bought the black ones myself and they were of great use but there more for creating the idea of a city or space station, something more completely man made. the gray ones give a better look of the roads being laid over bare rock especially when you introduce the plates with the craters. i would love to see a 48*48 baseplate with roads through them which would allow more building space on the side and maybe some craters. also 48*48 baseplates with craters but a few different kinds to create more or a realistic look and less of a repeating pattern. and with all those rocks you have to put everything up on supports, much better looking bases then.	negative
cp5670, on jul 8 2008, 05:04 am, said: these are pretty good, but i think they look too much like the standard town roads from that period. i like the black space plates from the early 90s better (6710). oh how i love these plates. afew years ago i found a local retail store with about 6-7 sets of these in their basement warehouse i was given special access to (along with many other old space goodies.. hehe..) i love the things, i have loads, and i've used them for multiple space bases and battles. along with afew grey crater plates and the large grey plates (1.5x the size of a normal baseplate) you can get quite a monorail layout going. *sigh* i should really clean up and get one set up again, so i can take some pictures!	positive
kdog, on jul 8 2008, 09:48 pm, said: that's the problem; the instructions aren't anywhere to be found, not that i've seen. the set does seem to have some rare parts, but i doubt $350 worth. by looking at the pictures used to display this set i've a sneaky suspicion it did not come with instructions but meant for the pictures to be ideas. the whole set was suppose to teach children to use their imagination, giving them instructions would somewhat defeat this while trying to figure how to build things from looking at pictures would be a much better educational experience.	negative
i also love these plates! i build a lot with them (e.g. this ). unfortunately they are not available in bley ...	neutral
lokix, on jul 11 2008, 03:00 pm, said: by looking at the pictures used to display this set i've a sneaky suspicion it did not come with instructions but meant for the pictures to be ideas. the whole set was suppose to teach children to use their imagination, giving them instructions would somewhat defeat this while trying to figure how to build things from looking at pictures would be a much better educational experience. but i don't wanna use my imagination!	neutral
year released: 1976 piece count: 53 minifigs: 2 lego brought out floating boats quite early, and in many ways the first were the best. (i'll explain why later...) this set in particular is interesting as it came out in two versions; one that includes the first minifigs and another that included the non-armless type. (set 709.) the police signs are stickers, and are in surprisingly good condition considering the age of the set. (i am missing one sticker on the front though.) note the technic bush and axel; they are the old type. the position of the second figure is not a mistake; i think he's supposed to be sitting down.... the first boats out by lego needed a weighted keel to prevent them.... keeling over. (i have tested this!) i suspect this is because of the density of the old hulls and the flat bottom... but i could be wrong. (it can't be just because of the flat bottom as the new cargo ship doesn't need one.) the keel in detail. the bottom extension is for a motor. (not included, nor made by lego at the time.) the keel had longer studs. even now it holds extra firmly. this is why i prefer the old design. you can extend or shorten the hulls as you please, or even insert other lego in the middle. you can easily add wheels or any other piece to the bottom of these hulls. i wish they would go back to this idea; the 4+ hulls were of this concept but were too wide. (probably so the keel wasn't needed.) the old minifigs aside from having odd feet and no arms had a normal stud as the neck. thus when you turn the head it tends to come off. i love this set!	negative
thebrickster, on jun 22 2008, 01:41 am, said: it looks like your boat is in really good shape considering it's >30 years old. excellent review! i know; i got it for a song on ebay. most 1970s sets don't seem to be in much demand...	neutral
how about "these policemen are unarmed?"	neutral
hinckley, on aug 1 2008, 10:41 am, said: how about "these policemen are unarmed?" you give a guy a holiday, he comes back a comedian. (it's too obvious for my taste.)	negative
sinner, on jul 31 2008, 07:43 pm, said: you give a guy a holiday, he comes back a comedian. (it's too obvious for my taste.) words hurt you know.	negative
this set showed what potential variations on the standard brick had back then. i think that tlg was still finding its legs back then and learning new things so this is a solid set for the year it was released. nice review sinner.	positive
lol! i can't help but smile everytime i see the quote on this thread..... don't worry these police are armless! lol	negative
well what to say? i got this boat late 70s, when we were on our way to italy to spend the holidays there. my parents always needed to keep my quiet during the 3-day trip, and the best way to do that was to buy me a lego set... i got this one in a gas station in germany. as far as i remember italy didn't have lego sets, so a gas station close to the italian border but still in germany or austria was very often their last chance. i often saw large quantities of lego sets in those gas stations though... i remember seeing yellow castle and... the galaxy explorer, standing on a shelf. it would be my birthday 1-3 week(s) later so i always made sure they knew what to buy for me...	positive
so, you've been bitten by the classic bug too, sinner. great review; but one would think arms would come in handy (pun intended) when you are a police officer, right? it's a shame that many of the original figs must now be forced to stand looking like they have their hands in their pockets, eh? i have no idea where i was going with that last sentence...	neutral
nice review, 'mariko'! this set is way past my time. the baseplate is okay (though i hate those dots). the car is pretty cool too...	positive
great review. i never had this set, but it looks nice. i really like the checker pattern near the big window.	positive
great review mariko! this set is way before my time too. i like how lego used to create simple one story houses instead of the really tall house that we see in today's town theme, such as 8403 city house. one story houses such as 345 just look more realistic to my eyes. the simplistic, minimalism vibe that i get with this set is something that is hard to find in today's much more detailed sets (although, trust me, i love love love today's detailed sets). - the brick is epic	positive
image link from brickset i thought i would do a pic review of the 1st lego castle, the yellow castle, #375- released in 1978. first, let me say that this set was truly "ahead of it's time". it introduced new building concepts (such as the hinge and new figs (most were still the armless, faceless mini-figs during this time). this set introduced me to castle which was my first real favorite theme. i enjoyed breaking it out from the garage and building it again. the majority of the pieces are 1x1, 1x2, 1x3, 1x4, 1x6, and 1x8 standard yellow bricks. the set also includes yellow 1x4, 1x6x2, and 1x8x2 arches, yellow 2x2, 2x3, and 2x4 bricks, various grey plates, 1x2 black inverted slopes, red drawbridge pieces, two classic red castle doors, 8 hinges (2 for each corner), and a few other nifty pieces including six red 1x1 windows. a complete inventory is available at peeron: 375 inventory. a view from the front. the drawbridge is 6x8. the front tower stands 12 1/3 bricks high (plenty of room for horses). the drawbridge does work. the string (originally black) is attached to the opposite side between a plate and the arches. the right side of the castle (identical to the left). i've always loved the 2x2x3 sloped bricks (and corner pieces): the back. i love these red doors. a 1x4 brick attached to the other side of the baseplate keeps intruders out. that banner was the original sticker piece. notice the wear. the rear tower, largest of the towers: and backside: two hinges at each of the corners allow the corners to open for playability: before opening: open: lots of arches add to the detail of the inner walls: inner front: this set included 14 figs (how about that for quantity). unfortunately, i peeled off worn stickers from the shields and the breast plates years ago. the blue castle guards and knights are the keepers of the castle. i still think that these helmets are the best lego ever made. they just look good. the black and white knights: and the red knights: i've always prefered to use the black and red guards and flags from the knight's joust set(s): conclusion the yellow castle is truly a classic set and i'm so glad i kept the pieces to this together after all these years. if you have a chance to buy one or even obtain the set instructions, it's worth building and wouldn't be difficult to substitute grey or other colors. i hope you enjoyed this review and feel free to share your comments.	positive
nice review! i haven't built yellow castle for many years, but i do remember the fun i had building it when i was young... yellow castle just opened up an entire new world for me... also, i liked all the alternate models on the box :od wish i still had that...	positive
there's two alternates on the back of the instructions and as i recall, some sort of bridge on the inner fold or back of box. i threw away the box to this set years ago- just lucky to still have all the pieces. with standard pieces, you can build all these alternates and many more. that's why i don't particularly care for the new castles (like vladek's). they make building so difficult and duplicate pieces are so limited. here's an old shot of the castle in the city that it use to guard. we played for hours back in these days,	neutral
yup that is very very nice..i wish i had been alive back then :d well ill never have a chance to own something like this so this is as close ill get to it! thanks for showing me the greatness....	positive
question for you guys, what's the best way to clean lego? i was noticing that the baseplates and gray plates to this set are very dusty and could use a good cleaning. mild soap water soak? is there a better way?	neutral
toothbrush and mild soap - and lots of time gently scrubbing a cleaning. and great review - i love that set *wub* *wub* i'm sorry that you seem to miss the stickers - if you find somewhere to download printable copies of them please let me know *satis* kimt	positive
kimt, on dec 28 2005, 02:52 pm, said: toothbrush and mild soap - and lots of time gently scrubbing a cleaning. and great review - i love that set *wub* *wub* i'm sorry that you seem to miss the stickers - if you find somewhere to download printable copies of them please let me know *satis* kimt thanks for the tip. i tried it on a few pieces and they look much better. unfortunately, it does take a lot of time. i need a lego cleaning machine with this many pieces.	positive
you might find the stickers here	neutral
kimt, on dec 29 2005, 06:40 am, said: imperialjohn, on dec 29 2005, 02:06 pm, said: you might find the stickers here i've searched that page before - it doesn't have the stickers, but it has a lot of other useful ones :od thebrickster send me a link to a page that has remakes of the good old classic shields and more, you can find it here [thanks brickster *satis* ] kimt from www.classic-castle.com, i opened the shield images, then copied and pasted them into powerpoint. they do need to be re-sized. in us, i converted them to .59 inch width. you could do the same in cm by converting to 1.5 cm wide. i did the same with the torso stickers - same ratio. i ended up with a powerpoint sheet of multiple shields and torso designs. printed on sticker pages from a good quality photo-printer gives you very nice stickers. the hard part is cutting them. the results are the four knights pictured above. the web site also has forestmen and custom torso and shield designs that are very nice.	neutral
gylman, on dec 29 2005, 03:00 pm, said: kimt, on dec 29 2005, 02:40 pm, said: imperialjohn, on dec 29 2005, 02:06 pm, said: you might find the stickers here i've searched that page before - it doesn't have the stickers, but it has a lot of other useful ones :od thebrickster send me a link to a page that has remakes of the good old classic shields and more, you can find it here [thanks brickster *satis* ] kimt hey! is there some reasonable way i can get these made into usable stickers?? does someone provide this service? i am desperate to get stickers for my 5571 modelteam black cat! i would guess you need a colour laser printer and sticker paper, and some fiddling around with the sizes, but i don't have any of the necessary materials. i knowsome guy on ebay sells home made stickers, but he has never sold these ones. gyl a laser printer would burn the plastic sheet. all you need is a white or transparrent sticker sheet and an ink printer	neutral
